Date,Open,High,Low,Close,AdjustedClose,Volume
2018-05-30,93.86,94.0,93.39,93.75,90.262,149524000
2018-05-31,93.61,94.115,93.07,93.435,89.959,219862400
2018-06-01,93.995,95.13,93.875,95.12,91.581,187540000
2018-06-04,95.82,96.71,95.675,95.915,92.346,210129600
2018-06-05,96.535,96.97,96.18,96.655,93.059,172528000
2018-06-06,96.815,97.04,95.96,96.99,93.381,167468800
2018-06-07,97.07,97.1,96.17,96.73,93.131,170777600
2018-06-08,95.585,96.0,94.885,95.85,92.284,213254400
2018-06-11,95.675,95.985,95.105,95.615,92.058,146468000
2018-06-12,95.695,96.305,95.575,96.14,92.563,135288800
2018-06-13,96.21,96.44,95.22,95.35,91.802,173107200
2018-06-14,95.775,95.785,95.11,95.4,91.851,172880800
2018-06-15,95.015,95.08,94.13,94.42,90.907,493753600
2018-06-18,93.94,94.61,93.6,94.37,90.859,147879200
2018-06-19,92.57,93.165,91.725,92.845,89.391,268628000
2018-06-20,93.175,93.6,92.865,93.25,89.781,165029600
2018-06-21,93.625,94.175,92.47,92.73,89.28,205695200
2018-06-22,93.06,93.075,92.35,92.46,89.02,217603200
2018-06-25,91.7,92.46,90.365,91.085,87.696,253304800
2018-06-26,91.495,93.265,91.27,92.215,88.784,196553600
2018-06-27,92.615,93.64,92.015,92.08,88.654,202282400
2018-06-28,92.05,93.105,91.9,92.75,89.299,138921600
2018-06-29,93.145,93.595,91.455,92.555,89.111,181901600
2018-07-02,91.91,93.65,91.71,93.59,90.108,141850400
2018-07-03,93.895,93.975,91.77,91.96,88.539,111638400
2018-07-05,92.63,93.205,92.14,92.7,89.251,132833600
2018-07-06,92.71,94.215,92.6,93.985,90.488,139881600
2018-07-09,94.75,95.34,94.65,95.29,91.745,158052800
2018-07-10,95.355,95.64,95.09,95.175,91.634,127512800
2018-07-11,94.25,94.89,93.805,93.94,90.445,150652000
2018-07-12,94.765,95.705,94.655,95.515,91.961,144328800
2018-07-13,95.54,95.92,95.45,95.665,92.106,100111200
2018-07-16,95.76,96.325,95.21,95.455,91.904,120344800
2018-07-17,94.875,95.935,94.6,95.725,92.163,124276000
2018-07-18,95.89,95.9,94.965,95.2,91.658,131147200
2018-07-19,94.845,96.275,94.845,95.94,92.37,162294400
2018-07-20,95.89,96.215,95.085,95.72,92.159,165409600
2018-07-23,95.34,95.98,94.78,95.805,92.241,127915200
2018-07-24,96.225,96.83,96.025,96.5,92.91,149583200
2018-07-25,96.53,97.425,96.215,97.41,93.786,133679200
2018-07-26,97.305,97.98,96.805,97.105,93.492,152608000
2018-07-27,97.495,97.595,95.05,95.49,91.937,192192000
2018-07-30,95.95,96.1,94.535,94.955,91.422,168236000
2018-07-31,95.15,96.07,94.67,95.145,91.605,314984000
2018-08-01,99.565,100.88,98.655,100.75,97.002,543485600
2018-08-02,100.29,104.19,100.175,103.695,99.837,499232000
